molecule,C6_000,C6_202,C6_022,C6_22X
c60-Ih,34603.5,7582.1,0.0,0.0
c70-D5h,41257.5,9083.5,1097.3,786.0
c76-D2,44971.1,9905.1,1781.8,1288.5
c78-C2v-2,46157.2,10164.4,1583.6,1148.5
c84-D2-22,50002.9,11023.3,788.0,583.4
c90-C1-32,53945.1,11907.2,1973.3,1433.1
c90-D5h,53950.3,11905.7,4502.3,3304.5
c96-D3d,57996.1,12817.2,5158.7,3794.2
c100-D5d,61004.6,13513.7,6312.9,4652.8
c114-D3h,70570.1,15669.8,8930.4,6623.4
c120-D5d,74994.8,16686.2,10934.1,8142.5
c130-D5h,82444.3,18402.0,13276.0,9927.1
