molecule,C6_000,C6_202,C6_022,C6_22X
c60-Ih,22163.9,6602.7,0.0,0.0
c70-D5h,27177.5,8096.3,909.1,812.4
c76-D2,28636.7,8531.0,1578.5,1410.8
c78-C2v-2,29660.3,8835.9,1515.7,1354.6
c84-D2-22,32422.5,9658.8,839.7,750.4
c90-C1-32,35004.8,10428.1,1871.5,1672.6
c90-D5h,34032.3,10138.4,4302.6,3845.3
c96-D3d,37166.3,11072.0,5041.0,4505.2
c100-D5d,40023.5,11923.2,6372.9,5695.5
c114-D3h,45789.9,13641.0,9121.1,8151.6
c120-D5d,48348.0,14403.1,11329.8,10125.6
c130-D5h,55624.9,16570.9,14738.8,13172.3
