Vernier Format 2
SAS-124-04x__C96 PURE__LEFT__3rd LG-PYE pass after 2 LG N-M passes__3pt06 mLmin o-Xyl__1500 uL__522 nm__1 injection__QC.cmbl 5/25/2023 21:02:27 .
Latest
Time	Potential
t	Pot
min	mV

0	0.0539758312516
0.0166666666667	0.0539758312516
0.0333333333333	0.0179919437505
0.05	0.0359838875011
0.0666666666667	0.0179919437505
0.0833333333333	0.0179919437505
0.1	0.0539758312516
0.116666666667	0.0179919437505
0.133333333333	0.0359838875011
0.15	0.0899597187527
0.166666666667	0
0.183333333333	0.0359838875011
0.2	0.0719677750021
0.216666666667	0.0539758312516
0.233333333333	0.0179919437505
0.25	0.0179919437505
0.266666666667	0
0.283333333333	0.0359838875011
0.3	0.0179919437505
0.316666666667	0.0359838875011
0.333333333333	-0.0179919437505
0.35	0.0539758312516
0.366666666667	0.0539758312516
0.383333333333	0.0899597187527
0.4	0.0359838875011
0.416666666667	0
0.433333333333	0.0719677750021
0.45	0.0359838875011
0.466666666667	0.0539758312516
0.483333333333	0.0359838875011
0.5	0.0539758312516
0.516666666667	0.0539758312516
0.533333333333	0.0359838875011
0.55	0.0899597187527
0.566666666667	0.0539758312516
0.583333333333	0.0179919437505
0.6	0.0359838875011
0.616666666667	0.0179919437505
0.633333333333	0
0.65	0.0719677750021
0.666666666667	0.0359838875011
0.683333333333	0.0539758312516
0.7	0
0.716666666667	0.0179919437505
0.733333333333	0.0179919437505
0.75	0.0899597187527
0.766666666667	0.0539758312516
0.783333333333	0.0539758312516
0.8	0.0899597187527
0.816666666667	0.0899597187527
0.833333333333	0.0179919437505
0.85	0.0899597187527
0.866666666667	0.0899597187527
0.883333333333	0.0539758312516
0.9	0.0359838875011
0.916666666667	0.0539758312516
0.933333333333	0.134939578129
0.95	0.107951662503
0.966666666667	0.116947634378
0.983333333333	0.116947634378
1	0.134939578129
1.01666666667	0.0719677750021
1.03333333333	0.116947634378
1.05	0.107951662503
1.06666666667	0.0899597187527
1.08333333333	0.0539758312516
1.1	0.134939578129
1.11666666667	0.116947634378
1.13333333333	0.134939578129
1.15	0.116947634378
1.16666666667	0.134939578129
1.18333333333	0.0899597187527
1.2	0.0539758312516
1.21666666667	0.0719677750021
1.23333333333	0.0359838875011
1.25	0.0359838875011
1.26666666667	0.0719677750021
1.28333333333	0.0539758312516
1.3	0
1.31666666667	0.0359838875011
1.33333333333	0.0179919437505
1.35	0.0359838875011
1.36666666667	0.0539758312516
1.38333333333	0.0899597187527
1.4	0.0359838875011
1.41666666667	0.0719677750021
1.43333333333	0.0539758312516
1.45	0.0359838875011
1.46666666667	0.0539758312516
1.48333333333	0.0359838875011
1.5	0.0359838875011
1.51666666667	0.0719677750021
1.53333333333	0.0179919437505
1.55	0.0179919437505
1.56666666667	0.0179919437505
