name,natoms,pt_group,homo,lumo,En,Eca,Ean,axx,ayy,azz,dipole
c230-D5h_E_48179348,230,D5h,-4.9526,-4.0767,-238347.47429,-238341.87889,-238350.91206,1855.05008,1855.27802,7726.70652,0.00116
c240-D2_R_E_48179349,240,D2,-4.9917,-4.034,-248712.46984,-248706.84394,-248715.86926,1876.66713,2041.68477,7762.33792,0.00016
c240-D3d_E_48183308,240,D3d,-5.0061,-3.9671,-248712.3978,-248706.76467,-248715.73407,1935.27694,1935.73576,8049.69973,0.00019
c240-D5d_E_48166582,240,D5d,-4.8419,-4.1764,-248710.67312,-248705.20423,-248714.22311,1911.18984,1911.33551,8419.51239,0.00019
c240-Ih_E_29237293,240,Ih,-5.7957,-3.7936,-248731.5633,-248725.09442,-248734.68276,2902.60867,2902.61156,2902.61167,5e-05
c250-D5h_E_48203159,250,D5h,-4.9906,-3.9942,-259074.25887,-259068.655,-259077.6408,1989.90175,1990.0597,9264.43489,0.00129
c252-D2_R_E_29429725,252,D2,-4.9631,-4.0444,-261148.06024,-261142.48047,-261151.48752,1971.45733,2126.19643,8646.31496,6e-05
c258-D3h_E_29254379,258,D3h,-4.9634,-3.9753,-267366.94783,-267361.38122,-267370.316,2069.62856,2069.98608,9457.63334,0.00017
c260-D5d_E_48183335,260,D5d,-4.9203,-4.0689,-269437.8041,-269432.28194,-269441.27466,2074.09349,2074.30235,10155.57074,5e-05
c264-D2_R_E_48183315,264,D2,-4.9328,-4.0555,-273585.03196,-273579.49641,-273588.4842,2125.53942,2154.13142,9594.51513,0.0001
c270-D5h_E_48183329,270,D5h,-4.726,-4.2305,-279801.06039,-279795.74535,-279804.70505,2161.11268,2161.35193,11089.52709,0.00107
c276-D2_R_E_29631079,276,D2,-4.9066,-4.0661,-286021.81592,-286016.32014,-286025.29224,2140.92954,2320.57916,10599.16508,0.00014
c276-D3d_E_29631148,276,D3d,-4.9256,-3.9878,-286021.46892,-286015.96165,-286024.87107,2203.81196,2204.25552,11009.77308,4e-05
c280-D5d_E_48183348,280,D5d,-4.914,-4.0379,-290164.83256,-290159.34247,-290168.29495,2210.44234,2210.63044,11965.06306,0.00013
c288-D2_R_E_29631414,288,D2,-4.8822,-4.0738,-298458.24074,-298452.78264,-298461.73801,2257.39665,2384.21313,11669.65657,6e-05
c290-D5h_E_30076330,290,D5h,-4.8929,-4.0621,-300528.62225,-300523.16293,-300532.12118,2293.50166,2293.7347,13000.58629,0.00125
c294-D3h_E_48183364,294,D3h,-4.8922,-3.9942,-304675.66581,-304670.21318,-304679.09555,2337.54432,2338.05873,12709.71942,0.00038
c300-D2_R_E_48229977,300,D2,-4.8615,-4.0843,-310894.12193,-310888.69863,-310897.64376,2376.28673,2445.27303,12802.4449,4e-05
c300-D5d_E_48183370,300,D5d,-4.7193,-4.2081,-310891.63129,-310886.35656,-310895.28695,2379.19947,2379.4797,14079.53646,0.00024
c310-D5h_E_48183376,310,D5h,-4.8514,-4.0737,-321255.31255,-321249.91739,-321258.84275,2430.74877,2430.95125,15096.963,0.0014
c312-D2_R_E_29776707,312,D2,-4.8402,-4.0922,-323331.09148,-323325.70024,-323334.63193,2407.71913,2595.23361,14000.24086,0.00012
c312-D3d_E_30301799,312,D3d,-4.8622,-4.0027,-323330.15254,-323324.74852,-323333.60936,2471.48385,2471.89529,14562.71417,0.00018
c320-D5d_E_48247141,320,D5d,-4.8709,-4.0579,-331618.58713,-331613.1805,-331622.11235,2512.25285,2512.51421,16281.05147,2e-05
c320-Ih_E_48203157,320,Ih,-4.9275,-4.5607,-331646.84392,-331641.32173,-331650.81703,4949.86779,4978.5009,4998.49845,9e-05
