Mode  7:  159.016 : 0.5 E2'
Mode 166: 1133.346 : 0.5 E1''
Mode 167: 1133.346 : 0.5 E1''
Mode 168: 1145.795 : 0.5 E2'
Mode 169: 1145.795 : 0.5 E2'
Mode 170: 1161.294 : A1'
Mode 171: 1191.329 : A2''
Mode 172: 1191.566 : 0.5 E1''
Mode 173: 1191.566 : 0.5 E1''
Mode 174: 1203.279 : 0.5 E2'
Mode 175: 1203.279 : 0.5 E2'
Mode 176: 1234.121 : 0.5 E1'
Mode 177: 1234.121 : 0.5 E1'
Mode 178: 1234.555 : A2''
Mode 179: 1234.658 : 0.5 E2''
Mode 180: 1234.658 : 0.5 E2''
Mode 181: 1247.689 : A1'
Mode 182: 1252.902 : A1''
Mode 183: 1253.893 : 0.5 E1'
Mode 184: 1253.893 : 0.5 E1'
Mode 185: 1261.099 : A2'
Mode 186: 1271.687 : A1'
Mode 187: 1284.027 : 0.5 E2''
Mode 188: 1284.027 : 0.5 E2''
Mode 189: 1295.397 : 0.5 E1''
Mode 190: 1295.397 : 0.5 E1''
Mode 191: 1296.626 : 0.5 E1''
Mode 192: 1296.626 : 0.5 E1''
Mode 193: 1301.239 : 0.5 E2'
Mode 194: 1301.239 : 0.5 E2'
Mode 195: 1318.951 : A2'
Mode 196: 1327.134 : 0.5 E1''
Mode 197: 1327.134 : 0.5 E1''
Mode 198: 1330.457 : 0.5 E2'
Mode 199: 1330.457 : 0.5 E2'
Mode 200: 1336.995 : 0.5 E1'
Mode 201: 1336.995 : 0.5 E1'
Mode 202: 1342.761 : 0.5 E2''
Mode 203: 1342.761 : 0.5 E2''
Mode 204: 1347.531 : 0.5 E1'
Mode 205: 1347.531 : 0.5 E1'
Mode 206: 1361.562 : A2''
Mode 207: 1362.561 : 0.5 E2'
Mode 208: 1362.561 : 0.5 E2'
Mode 209: 1365.126 : A1'
Mode 210: 1374.724 : A1''
Mode 211: 1377.369 : 0.5 E1'
Mode 212: 1377.369 : 0.5 E1'
Mode 213: 1377.913 : 0.5 E2''
Mode 214: 1377.913 : 0.5 E2''
Mode 215: 1388.840 : A2'
Mode 216: 1394.614 : 0.5 E2''
Mode 217: 1394.614 : 0.5 E2''
Mode 218: 1398.088 : 0.5 E1''
Mode 219: 1398.088 : 0.5 E1''
Mode 220: 1400.085 : 0.5 E1'
Mode 221: 1400.085 : 0.5 E1'
Mode 222: 1421.271 : 0.5 E2'
Mode 223: 1421.271 : 0.5 E2'
Mode 224: 1436.556 : 0.5 E1''
Mode 225: 1436.556 : 0.5 E1''
Mode 226: 1445.284 : 0.5 E2''
Mode 227: 1445.284 : 0.5 E2''
Mode 228: 1446.938 : 0.5 E2'
Mode 229: 1446.938 : 0.5 E2'
Mode 230: 1460.982 : A2''
Mode 231: 1472.215 : A1''
Mode 232: 1478.128 : 0.5 E1'
Mode 233: 1478.128 : 0.5 E1'
Mode 234: 1478.541 : 0.5 E1''
Mode 235: 1478.541 : 0.5 E1''
Mode 236: 1486.324 : 0.5 E2''
Mode 237: 1486.324 : 0.5 E2''
Mode 238: 1489.074 : 0.5 E2'
Mode 239: 1489.074 : 0.5 E2'
Mode 240: 1490.726 : A1'
Mode 241: 1492.323 : 0.5 E1''
Mode 242: 1492.323 : 0.5 E1''
Mode 243: 1503.344 : A2''
Mode 244: 1504.431 : 0.5 E1'
Mode 245: 1504.431 : 0.5 E1'
Mode 246: 1516.205 : 0.5 E2''
Mode 247: 1516.205 : 0.5 E2''
Mode 248: 1529.589 : A1'
Mode 249: 1561.234 : 0.5 E2'
Mode 250: 1561.234 : 0.5 E2'
Mode 251: 1568.399 : 0.5 E2''
Mode 252: 1568.399 : 0.5 E2''
Mode 253: 1570.402 : 0.5 E1''
Mode 254: 1570.402 : 0.5 E1''
