"wavelength","absorbance"
351.1520737327189,0.011729857819905215
352.3041474654378,0.015639810426540286
353.4562211981567,-0.007240652975250133
354.60829493087556,-0.02345971563981043
355.7603686635945,-0.018246445497630336
356.91244239631334,-0.005647709320695103
358.06451612903226,0.027369668246445503
359.2165898617512,0.01954976303317536
360.36866359447004,0.02997630331753555
361.52073732718895,0.05604265402843603
362.6728110599078,0.058649289099526075
363.82488479262673,0.04952606635071091
364.9769585253456,0.04952606635071091
366.1290322580645,0.08341232227488153
367.28110599078343,0.13293838862559243
368.4331797235023,0.1146919431279621
369.5852534562212,0.10556872037914694
370.73732718894007,0.1316350710900474
371.889400921659,0.18116113744075832
373.04147465437785,0.18376777251184837
374.19354838709677,0.18246445497630334
375.3456221198157,0.18376777251184837
376.49769585253455,0.2059241706161138
377.64976958525347,0.22547393364928914
378.8018433179723,0.2398104265402844
379.95391705069125,0.2515402843601896
381.1059907834101,0.2293838862559242
382.258064516129,0.2619668246445498
383.41013824884794,0.23850710900473937
384.5622119815668,0.27239336492891
385.7142857142857,0.2984597156398105
386.8663594470046,0.3036729857819906
388.0184331797235,0.28412322274881524
389.17050691244236,0.2684834123222749
390.3225806451613,0.29585308056872045
391.4746543778802,0.2971563981042655
392.62672811059906,0.2984597156398105
393.778801843318,0.3036729857819906
394.93087557603684,0.3013270142180095
396.08294930875576,0.28021327014218017
397.2350230414747,0.26457345971563984
398.38709677419354,0.29116113744075833
399.53917050691246,0.3088862559241707
400.6912442396313,0.30106635071090054
401.84331797235023,0.2867298578199053
402.9953917050691,0.3049763033175356
404.147465437788,0.31149289099526073
405.29953917050693,0.2815165876777252
406.4516129032258,0.2828199052132702
407.6036866359447,0.3101895734597157
408.7557603686636,0.34668246445497636
409.9078341013825,0.32452606635071096
411.05990783410135,0.3440758293838863
412.21198156682027,0.3219194312796209
413.3640552995392,0.3140995260663508
414.51612903225805,0.32973933649289106
415.66820276497697,0.3140995260663508
416.82027649769583,0.2971563981042655
417.97235023041475,0.273696682464455
419.1244239631336,0.2867298578199053
420.2764976958525,0.2684834123222749
421.42857142857144,0.27890995260663515
422.5806451612903,0.2938981042654029
423.7327188940092,0.27239336492891
424.8847926267281,0.27760663507109007
426.036866359447,0.27239336492891
427.18894009216586,0.25414691943127965
428.3410138248848,0.2528436018957346
