Mode  7:  135.966 : 0.5 E2g
Mode  8:  135.966 : 0.5 E2g
Mode 166:  943.293 : 0.5 E2u
Mode 167:  943.293 : 0.5 E2u
Mode 168:  946.367 : A1u
Mode 169:  969.028 : 0.5 E2g
Mode 170:  969.028 : 0.5 E2g
Mode 171:  970.116 : A2g
Mode 172: 1007.015 : 0.5 E2g
Mode 173: 1007.015 : 0.5 E2g
Mode 174: 1034.166 : A2u
Mode 175: 1052.059 : 0.5 E1u
Mode 176: 1052.059 : 0.5 E1u
Mode 177: 1081.149 : 0.5 E2u
Mode 178: 1081.149 : 0.5 E2u
Mode 179: 1112.588 : 0.5 E2u
Mode 180: 1112.588 : 0.5 E2u
Mode 181: 1126.564 : 0.5 E1g
Mode 182: 1126.564 : 0.5 E1g
Mode 183: 1127.386 : A1g
Mode 184: 1131.381 : 0.5 E1u
Mode 185: 1131.381 : 0.5 E1u
Mode 186: 1155.377 : 0.5 E1g
Mode 187: 1155.377 : 0.5 E1g
Mode 188: 1167.858 : 0.5 E2g
Mode 189: 1167.858 : 0.5 E2g
Mode 190: 1195.018 : A2u
Mode 191: 1205.265 : 0.5 E1g
Mode 192: 1205.265 : 0.5 E1g
Mode 193: 1207.265 : 0.5 E2g
Mode 194: 1207.265 : 0.5 E2g
Mode 195: 1231.285 : A1g
Mode 196: 1231.848 : 0.5 E1u
Mode 197: 1231.848 : 0.5 E1u
Mode 198: 1232.242 : A2u
Mode 199: 1236.905 : A2g
Mode 200: 1251.400 : 0.5 E2u
Mode 201: 1251.400 : 0.5 E2u
Mode 202: 1252.245 : A1u
Mode 203: 1269.166 : A1g
Mode 204: 1276.090 : 0.5 E2u
Mode 205: 1276.090 : 0.5 E2u
Mode 206: 1277.946 : 0.5 E1u
Mode 207: 1277.946 : 0.5 E1u
Mode 208: 1278.947 : 0.5 E1g
Mode 209: 1278.947 : 0.5 E1g
Mode 210: 1282.309 : A2u
Mode 211: 1297.376 : A1u
Mode 212: 1313.183 : 0.5 E2g
Mode 213: 1313.183 : 0.5 E2g
Mode 214: 1316.594 : 0.5 E1u
Mode 215: 1316.594 : 0.5 E1u
Mode 216: 1319.603 : 0.5 E1g
Mode 217: 1319.603 : 0.5 E1g
Mode 218: 1334.400 : 0.5 E1g
Mode 219: 1334.400 : 0.5 E1g
Mode 220: 1338.160 : A1g
Mode 221: 1338.321 : 0.5 E1u
Mode 222: 1338.321 : 0.5 E1u
Mode 223: 1345.548 : 0.5 E2u
Mode 224: 1345.548 : 0.5 E2u
Mode 225: 1347.667 : A2u
Mode 226: 1350.410 : 0.5 E2g
Mode 227: 1350.410 : 0.5 E2g
Mode 228: 1355.143 : A2g
Mode 229: 1368.954 : 0.5 E2g
Mode 230: 1368.954 : 0.5 E2g
Mode 231: 1369.214 : 0.5 E2u
Mode 232: 1369.214 : 0.5 E2u
Mode 233: 1371.573 : 0.5 E2g
Mode 234: 1371.573 : 0.5 E2g
Mode 235: 1371.694 : 0.5 E1u
Mode 236: 1371.694 : 0.5 E1u
Mode 237: 1383.940 : A1u
Mode 238: 1390.704 : 0.5 E1g
Mode 239: 1390.704 : 0.5 E1g
Mode 240: 1392.898 : A1g
Mode 241: 1399.817 : 0.5 E1u
Mode 242: 1399.817 : 0.5 E1u
Mode 243: 1400.283 : 0.5 E1g
Mode 244: 1400.283 : 0.5 E1g
Mode 245: 1410.675 : A2g
Mode 246: 1411.497 : 0.5 E2u
Mode 247: 1411.497 : 0.5 E2u
Mode 248: 1427.637 : 0.5 E1u
Mode 249: 1427.637 : 0.5 E1u
Mode 250: 1430.542 : 0.5 E2u
Mode 251: 1430.542 : 0.5 E2u
Mode 252: 1448.886 : 0.5 E2g
Mode 253: 1448.886 : 0.5 E2g
Mode 254: 1459.177 : 0.5 E2g
Mode 255: 1459.177 : 0.5 E2g
Mode 256: 1463.176 : 0.5 E1g
Mode 257: 1463.176 : 0.5 E1g
Mode 258: 1464.359 : 0.5 E2u
Mode 259: 1464.359 : 0.5 E2u
Mode 260: 1471.622 : 0.5 E1u
Mode 261: 1471.622 : 0.5 E1u
Mode 262: 1474.960 : 0.5 E1g
Mode 263: 1474.960 : 0.5 E1g
Mode 264: 1476.331 : A2u
Mode 265: 1488.634 : 0.5 E2g
Mode 266: 1488.634 : 0.5 E2g
Mode 267: 1491.738 : A1g
Mode 268: 1501.524 : A2u
Mode 269: 1510.279 : 0.5 E2u
Mode 270: 1510.279 : 0.5 E2u
Mode 271: 1525.743 : 0.5 E1u
Mode 272: 1525.743 : 0.5 E1u
Mode 273: 1527.821 : A1u
Mode 274: 1537.351 : 0.5 E1g
Mode 275: 1537.351 : 0.5 E1g
Mode 276: 1549.527 : A1g
Mode 277: 1558.546 : 0.5 E2u
Mode 278: 1558.546 : 0.5 E2u
Mode 279: 1561.509 : 0.5 E2g
Mode 280: 1561.509 : 0.5 E2g
Mode 281: 1565.737 : 0.5 E2u
Mode 282: 1565.737 : 0.5 E2u
Mode 283: 1567.579 : 0.5 E1g
Mode 284: 1567.579 : 0.5 E1g
Mode 285: 1590.121 : 0.5 E2g
Mode 286: 1590.121 : 0.5 E2g
Mode 287: 1606.975 : 0.5 E1u
Mode 288: 1606.975 : 0.5 E1u
Mode 289: 1612.187 : A1u
Mode 290: 1615.914 : A2u
Mode 291: 1617.250 : A2g
Mode 292: 1618.151 : 0.5 E2g
Mode 293: 1618.151 : 0.5 E2g
Mode 294: 1618.376 : 0.5 E2u
Mode 295: 1618.376 : 0.5 E2u
Mode 296: 1621.776 : 0.5 E1u
Mode 297: 1621.776 : 0.5 E1u
Mode 298: 1623.738 : A1g
Mode 299: 1624.994 : 0.5 E1g
Mode 300: 1624.994 : 0.5 E1g
Total symmetry:  16 A1g + 13 A2g + 29 E1g + 30 E2g + 14 A1u + 15 A2u + 29 E1u + 30 E2u
