Mode  7:  137.444 : 0.5 E2g
Mode  8:  137.444 : 0.5 E2g
Mode 166:  940.247 : 0.5 E2u
Mode 167:  940.247 : 0.5 E2u
Mode 168:  960.300 : A1u
Mode 169:  964.128 : 0.5 E2g
Mode 170:  964.128 : 0.5 E2g
Mode 171:  986.757 : A2g
Mode 172: 1001.995 : 0.5 E2g
Mode 173: 1001.995 : 0.5 E2g
Mode 174: 1026.561 : A2u
Mode 175: 1045.475 : 0.5 E1u
Mode 176: 1045.475 : 0.5 E1u
Mode 177: 1070.632 : 0.5 E2u
Mode 178: 1070.632 : 0.5 E2u
Mode 179: 1106.215 : 0.5 E2u
Mode 180: 1106.215 : 0.5 E2u
Mode 181: 1119.203 : A1g
Mode 182: 1120.540 : 0.5 E1g
Mode 183: 1120.540 : 0.5 E1g
Mode 184: 1121.584 : 0.5 E1u
Mode 185: 1121.584 : 0.5 E1u
Mode 186: 1146.104 : 0.5 E1g
Mode 187: 1146.104 : 0.5 E1g
Mode 188: 1151.706 : 0.5 E2g
Mode 189: 1151.706 : 0.5 E2g
Mode 190: 1182.465 : A2u
Mode 191: 1191.218 : 0.5 E1g
Mode 192: 1191.218 : 0.5 E1g
Mode 193: 1198.634 : 0.5 E2g
Mode 194: 1198.634 : 0.5 E2g
Mode 195: 1208.867 : A2u
Mode 196: 1213.927 : A1g
Mode 197: 1217.839 : 0.5 E1u
Mode 198: 1217.839 : 0.5 E1u
Mode 199: 1227.187 : A2g
Mode 200: 1234.660 : 0.5 E2u
Mode 201: 1234.660 : 0.5 E2u
Mode 202: 1244.521 : A1u
Mode 203: 1245.588 : A1g
Mode 204: 1260.766 : 0.5 E1g
Mode 205: 1260.766 : 0.5 E1g
Mode 206: 1261.462 : 0.5 E2u
Mode 207: 1261.462 : 0.5 E2u
Mode 208: 1261.605 : 0.5 E1u
Mode 209: 1261.605 : 0.5 E1u
Mode 210: 1265.672 : A2u
Mode 211: 1291.619 : A1u
Mode 212: 1292.134 : 0.5 E2g
Mode 213: 1292.134 : 0.5 E2g
Mode 214: 1296.441 : 0.5 E1u
Mode 215: 1296.441 : 0.5 E1u
Mode 216: 1301.914 : 0.5 E1g
Mode 217: 1301.914 : 0.5 E1g
Mode 218: 1312.727 : A1g
